,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
ram,Cmp-Att-Yd-TD-INT,34-49-317-1-1,19-27-216-0-0,22-30-292-3-0,20-29-224-0-1,15-26-224-2-1,21-44-206-0-3,18-25-240-2-0,25-44-298-2-1,20-28-207-1-1,18-27-295-4-0,15-22-179-1-0,14-24-183-2-0,22-37-342-3-0,16-27-160-0-0,14-19-110-1-1,33-48-321-1-2,20-27-223-4-0,25-40-245-1-1,26-44-324-2-0
ram,First Downs,26,14,25,21,19,20,17,22,15,19,24,22,25,14,17,24,18,20,18
ram,Fourth Down Conv.,1-2,1-3,1-1,0-0,0-0,1-1,0-0,0-0,0-0,1-1,0-1,1-2,0-0,1-1,0-0,0-2,0-0,1-4,1-2
ram,Fumbles-Lost,0-0,1-1,2-1,1-1,1-0,1-1,0-0,3-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,3-2
ram,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ram,Net Pass Yards,304,192,288,203,202,195,212,298,171,295,167,166,342,160,110,283,210,163,291
ram,Opp Score,26,41,27,24,19,20,30,20,15,22,20,14,44,6,9,13,25,27,28
ram,Opp_Cmp-Att-Yd-TD-INT,18-28-217-1-1,17-21-266-3-0,16-26-221-1-0,17-23-157-1-0,29-45-260-1-1,14-23-154-0-1,25-34-279-4-1,21-34-363-3-3,32-46-293-0-1,29-39-282-2-1,24-36-243-2-0,24-37-184-1-0,23-30-320-2-0,14-31-142-0-1,28-42-256-1-0,17-32-189-0-0,27-41-334-2-1,19-27-209-2-0,15-20-128-0-0
ram,Opp_First Downs,21,24,19,17,24,15,26,20,20,26,23,19,28,11,17,12,20,16,16
ram,Opp_Fourth Down Conv.,1-1,0-0,2-2,0-0,2-4,0-1,1-1,2-3,0-0,0-0,3-3,2-3,1-1,0-0,2-5,0-0,2-3,0-0,1-1
ram,Opp_Fumbles-Lost,0-0,2-1,0-0,1-0,1-1,0-0,0-0,2-0,3-1,2-1,4-1,0-0,0-0,0-0,2-2,0-0,0-0,0-0,2-0
ram,Opp_Net Pass Yards,200,258,198,133,236,144,279,317,257,257,198,184,320,128,246,189,319,202,65
ram,Opp_Penalties-Yards,6-56,5-52,8-75,10-84,5-30,3-28,6-40,12-95,6-64,7-45,4-38,4-38,9-99,4-25,8-62,7-46,2-10,10-95,3-14
ram,Opp_Rush-Yds-TDs,31-163-2,40-231-1,26-98-2,28-131-2,28-134-1,28-115-2,32-107-0,33-107-0,18-70-0,30-125-0,18-92-1,31-143-0,42-137-3,19-63-0,20-75-0,22-68-1,21-84-0,22-90-0,34-285-3
ram,Opp_Sacked-Yards,2-17,1-8,3-23,3-24,3-24,1-10,0-0,7-46,4-36,3-25,5-45,0-0,0-0,3-14,1-10,0-0,3-15,2-7,7-63
ram,Opp_Third Down Conv.,6-13,7-11,5-12,3-9,8-16,2-10,4-10,4-15,3-12,6-14,0-8,5-15,11-15,3-12,5-13,6-15,5-14,2-10,6-15
ram,Opp_Time of Possession,29:45,36:54,26:33,28:58,32:41,26:12,33:37,32:53,30:12,37:20,26:19,32:37,38:30,24:56,32:05,23:05,31:10,27:42,30:54
ram,Opp_Total Yards,363,489,296,264,370,259,386,424,327,382,290,327,457,191,321,257,403,292,350
ram,Opp_Turnovers,1,1,0,0,2,1,1,3,2,2,1,0,0,1,2,0,1,0,0
ram,Penalties-Yards,6-50,2-10,7-111,6-44,7-39,10-80,9-50,8-83,1-15,7-66,4-52,3-30,7-59,4-40,5-45,9-62,3-23,2-20,3-30
ram,Rush-Yds-TDs,23-83-1,20-53-1,34-137-0,26-119-1,30-126-1,29-122-0,22-64-0,24-68-0,22-67-1,24-107-0,45-314-3,29-156-1,17-103-3,38-142-0,31-132-1,22-113-0,24-126-0,22-106-0,21-111-0
ram,Sacked-Yards,2-13,5-24,1-4,3-21,2-22,2-11,3-28,0-0,3-36,0-0,1-12,2-17,0-0,0-0,0-0,4-38,2-13,9-82,5-33
ram,Third Down Conv.,5-12,2-11,6-11,5-11,1-8,3-15,2-7,3-13,6-13,2-8,9-15,4-9,5-9,4-15,5-10,6-13,6-11,6-17,6-16
ram,Time of Possession,34:56,23:06,33:27,31:02,27:19,33:48,26:23,32:10,29:48,22:40,33:41,27:23,21:30,35:04,27:55,36:55,28:50,32:18,29:06
ram,Total Yards,387,245,425,322,328,317,276,366,238,402,481,322,445,302,242,396,336,269,402
ram,Turnovers,1,1,1,2,1,4,0,1,2,0,0,0,0,0,1,2,0,2,2
ram,ram Score,20,10,24,18,24,15,20,26,23,28,37,21,42,12,19,9,30,9,22
