,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
0,Attendance,"66,530","63,331",,"59,074","72,842","73,267","72,127","68,632","72,474","64,628","74,400","70,006","73,493","71,201","76,871","73,051","72,610","64,515","69,879"
0,Duration,3:14,2:39,3:06,2:55,3:04,3:04,2:53,3:35,2:49,3:03,3:13,2:53,3:11,2:49,2:48,3:02,2:53,3:02,3:08
0,Over/Under,52.5 (under),47.5 (over),43.5 (over),40.5 (over),48.5 (under),43.5 (under),48.0 (over),48.0 (under),49.0 (under),43.5 (over),49.0 (over),49.5 (under),49.5 (over),48.5 (under),47.0 (under),47.5 (under),38.5 (over),48.0 (under),42.0 (over)
0,Roof,dome,retractable roof (closed),dome,outdoors,dome,dome,dome,outdoors,dome,outdoors,dome,dome,dome,outdoors,outdoors,dome,dome,retractable roof (closed),outdoors
0,Surface,fieldturf,grass,matrixturf,grass,matrixturf,matrixturf,matrixturf,fieldturf,matrixturf,fieldturf,matrixturf,sportturf,matrixturf,grass,fieldturf,matrixturf,matrixturf,grass,grass
0,Vegas Line,Detroit Lions -4.5,Pick,San Francisco 49ers -6.5,Chicago Bears -3.0,Green Bay Packers -3.0,Los Angeles Rams -7.0,Minnesota Vikings -3.0,Los Angeles Rams -1.0,Los Angeles Rams -2.5,Los Angeles Rams -4.5,Philadelphia Eagles -3.0,Los Angeles Rams -2.5,Buffalo Bills -3.5,San Francisco 49ers -3.0,Los Angeles Rams -3.0,Los Angeles Rams -6.5,Seattle Seahawks -7.5,Minnesota Vikings -2.5,Philadelphia Eagles -6.5
0,Weather,,,,"70 degrees, relative humidity 90%, wind 16 mph",,,,"52 degrees, relative humidity 83%, wind 4 mph",,"59 degrees, relative humidity 30%, wind 9 mph",,,,"53 degrees, relative humidity 87%, wind 4 mph","23 degrees, relative humidity 47%, wind 8 mph",,,,"34 degrees, relative humidity 67%, wind 8 mph"
0,Won OT Toss,Lions,,,,,,,Seahawks,,,,,,,,,,,
0,Won Toss,Lions (deferred),Cardinals (deferred),Rams (deferred),Rams (deferred),Rams (deferred),Rams (deferred),Rams (deferred),Rams (deferred),Rams (deferred),Rams (deferred),Eagles (deferred),Rams (deferred),Bills (deferred),Rams (deferred),Jets (deferred),Cardinals (deferred),Seahawks (deferred),Vikings (deferred),Rams (deferred)
