,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
0,Attendance,"70,024","72,709","78,043","70,003","64,628","71,810","70,009","65,427","70,006","66,933","70,166","70,003","70,009","70,038","73,228","65,741","70,072"
0,Duration,3:17,3:07,3:07,3:04,2:56,3:05,3:10,3:14,3:01,3:22,2:53,3:09,2:57,2:51,2:52,3:01,3:02
0,Over/Under,41.5 (under),39.5 (under),41.5 (under),41.0 (under),38.5 (under),41.5 (under),40.5 (over),43.5 (over),42.5 (under),40.5 (over),42.0 (under),47.5 (over),38.5 (under),39.5 (under),46.0 (over),42.0 (under),42.0 (over)
0,Roof,dome,outdoors,outdoors,dome,outdoors,retractable roof (closed),dome,retractable roof (closed),dome,dome,retractable roof (closed),dome,dome,dome,dome,outdoors,dome
0,Surface,sportturf,grass,grass,sportturf,fieldturf,astroturf,sportturf,fieldturf,sportturf,sportturf,fieldturf,sportturf,sportturf,sportturf,matrixturf,grass,sportturf
0,Vegas Line,New Orleans Saints -3.0,New Orleans Saints -3.0,Green Bay Packers -1.5,New Orleans Saints -4.5,New England Patriots -1.5,New Orleans Saints -2.5,New Orleans Saints -2.5,New Orleans Saints -1.5,New Orleans Saints -8.5,New Orleans Saints -2.5,New Orleans Saints -1.5,Detroit Lions -4.5,New Orleans Saints -6.0,New Orleans Saints -5.5,Los Angeles Rams -4.0,Tampa Bay Buccaneers -2.5,New Orleans Saints -3.0
0,Weather,,"78 degrees, relative humidity 42%, wind 2 mph","68 degrees, relative humidity 68%, wind 10 mph",,"61 degrees, relative humidity 52%, wind 10 mph",,,,,,,,,,,"66 degrees, relative humidity 58%, wind 5 mph",
0,Won Toss,Titans (deferred),Panthers (deferred),Packers (deferred),Buccaneers (deferred),Patriots (deferred),Saints (deferred),Saints (deferred),Colts,Bears,Saints (deferred),Falcons (deferred),Saints (deferred),Saints (deferred),Saints (deferred),Rams (deferred),Buccaneers (deferred),Falcons (deferred)
