,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
0,Attendance,"65,582","65,601","68,658","65,291","64,628","66,299","65,629","70,862","72,474","65,440","65,479","77,599","65,787","71,221","66,341","67,942","68,818"
0,Duration,3:03,2:55,3:07,3:13,3:07,2:59,3:03,3:01,2:49,3:01,3:09,3:12,3:26,3:01,3:07,3:07,3:12
0,Over/Under,49.5 (under),49.0 (under),41.5 (under),37.0 (over),35.0 (under),43.5 (under),46.0 (over),49.5 (over),49.0 (under),43.5 (over),46.0 (over),47.5 (under),45.0 (over),45.5 (under),44.5 (over),33.5 (under),39.0 (over)
0,Roof,outdoors,outdoors,outdoors,outdoors,outdoors,retractable roof (closed),outdoors,outdoors,dome,outdoors,outdoors,outdoors,outdoors,retractable roof (closed),outdoors,outdoors,outdoors
0,Surface,grass,grass,fieldturf,grass,fieldturf,fieldturf,grass,a_turf,matrixturf,grass,grass,grass,grass,astroturf,grass,grass,fieldturf
0,Vegas Line,Miami Dolphins -3.5,Miami Dolphins -2.0,Seattle Seahawks -4.5,Miami Dolphins -2.5,Miami Dolphins -1.0,Indianapolis Colts -3.0,Miami Dolphins -4.0,Buffalo Bills -6.0,Los Angeles Rams -2.5,Miami Dolphins -7.5,Miami Dolphins -7.0,Green Bay Packers -3.0,Miami Dolphins -6.0,Houston Texans -2.5,San Francisco 49ers -1.5,Miami Dolphins -3.0,Pick
0,Weather,"91 degrees, relative humidity 57%, wind 10 mph","86 degrees, relative humidity 79%, wind 3 mph","64 degrees, relative humidity 66%, wind 2 mph","86 degrees, relative humidity 70%, wind 9 mph","65 degrees, relative humidity 57%, wind 2 mph",,"82 degrees, relative humidity 52%, wind 14 mph","54 degrees, relative humidity 38%, wind 9 mph",,"80 degrees, relative humidity 47%, wind 16 mph","77 degrees, relative humidity 51%, wind 6 mph","27 degrees, relative humidity 63%, wind 10 mph","77 degrees, relative humidity 55%, wind 12 mph",,"73 degrees, relative humidity 61%, wind 12 mph","54 degrees, relative humidity 93%, wind 15 mph","34 degrees, relative humidity 47%, wind 10 mph"
0,Won Toss,Jaguars (deferred),Bills (deferred),Dolphins (deferred),Dolphins (deferred),Patriots (deferred),Dolphins (deferred),Cardinals (deferred),Dolphins (deferred),Rams (deferred),Raiders (deferred),Dolphins (deferred),Dolphins (deferred),Jets (deferred),Texans (deferred),Dolphins (deferred),Browns (deferred),Jets (deferred)
