,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
SFO,Cmp-Att-Yd-TD-INT,13-28-164-0-1,15-24-184-1-0,18-29-211-1-1,16-27-239-1-0,18-30-253-2-0,29-41-296-2-2,29-46-369-2-2,22-26-269-3-0,19-28-240-0-0,20-29-228-4-0,26-37-222-1-0,27-41-266-2-1,17-23-195-2-0,17-26-217-2-0,15-22-234-2-1,22-35-284-2-1,15-20-178-3-0,18-30-332-3-0,19-29-214-0-0,11-18-97-0-0
SFO,First Downs,17,25,13,13,22,21,25,22,22,21,21,24,24,15,14,27,21,24,21,11
SFO,Fourth Down Conv.,0-2,2-3,0-0,0-1,0-0,0-1,0-0,0-0,1-1,0-0,1-2,1-2,1-2,0-0,1-2,0-0,0-1,0-0,0-0,0-2
SFO,Fumbles-Lost,2-1,2-0,3-2,1-0,2-1,1-1,1-1,1-0,1-1,0-0,0-0,1-0,1-1,0-0,0-0,0-0,0-0,0-0,1-1,3-3
SFO,HomeTeam,False,True,False,True,False,False,True,False,True,False,True,True,True,False,True,False,True,True,True,False
SFO,Net Pass Yards,155,184,179,239,244,296,343,257,230,228,221,230,195,211,218,284,142,324,199,83
SFO,Opp Score,19,7,11,9,15,28,44,14,16,10,0,17,7,13,20,34,13,23,12,31
SFO,Opp_Cmp-Att-Yd-TD-INT,8-17-121-2-1,24-31-197-0-2,20-33-184-0-0,32-48-254-0-1,25-42-275-0-1,13-14-129-2-0,25-36-423-3-1,22-33-187-1-0,21-37-196-1-1,30-44-277-0-2,18-30-204-0-0,18-34-295-2-3,34-55-253-1-2,31-44-238-1-0,25-34-289-3-1,23-34-365-3-2,20-27-209-1-3,25-35-253-2-1,23-37-206-1-2,15-25-121-0-0
SFO,Opp_First Downs,15,14,14,21,15,18,24,16,12,19,14,14,18,16,21,29,11,22,15,25
SFO,Opp_Fourth Down Conv.,0-0,0-0,0-0,2-2,3-5,0-0,0-0,0-0,0-1,0-2,0-1,1-2,4-7,0-0,0-2,0-1,0-2,1-1,2-2,3-3
SFO,Opp_Fumbles-Lost,0-0,1-1,2-0,1-1,2-0,1-0,2-1,0-0,1-0,1-0,2-2,1-1,2-1,2-1,1-1,1-0,1-1,1-1,0-0,0-0
SFO,Opp_Net Pass Yards,105,180,160,200,244,121,417,167,187,247,197,275,253,207,270,365,194,228,206,121
SFO,Opp_Penalties-Yards,3-24,10-106,5-30,1-5,5-33,5-40,8-84,4-50,1-5,5-50,6-46,8-68,8-62,8-79,6-51,6-49,7-50,5-30,7-50,4-34
SFO,Opp_Rush-Yds-TDs,37-99-1,14-36-0,33-101-1,18-57-0,17-64-1,40-168-1,21-112-3,21-56-1,16-51-0,24-67-1,22-63-0,8-33-0,19-69-0,14-70-0,33-79-0,32-135-1,20-61-1,25-104-1,22-76-0,44-148-4
SFO,Opp_Sacked-Yards,2-16,2-17,4-24,7-54,6-31,2-8,1-6,2-20,3-9,3-30,1-7,3-20,0-0,3-31,2-19,0-0,3-15,3-25,1-0,1-0
SFO,Opp_Third Down Conv.,5-14,2-7,6-19,5-15,3-15,9-14,6-9,8-13,6-16,8-16,4-11,0-7,4-16,4-13,7-13,4-10,4-10,6-13,5-15,5-15
SFO,Opp_Time of Possession,26:32,21:40,34:29,34:34,29:42,33:25,26:15,30:04,23:01,30:51,25:10,19:26,27:20,26:59,33:35,32:00,25:46,27:14,27:07,37:26
SFO,Opp_Total Yards,204,216,261,257,308,289,529,223,238,314,260,308,322,277,349,500,255,332,282,269
SFO,Opp_Turnovers,1,3,0,2,1,0,2,0,1,2,2,4,3,1,2,2,4,2,2,0
SFO,Penalties-Yards,12-99,1-26,7-40,4-25,9-50,5-30,10-80,3-8,5-52,3-30,7-64,4-45,2-15,7-60,4-25,9-71,2-10,3-28,3-30,11-81
SFO,Rush-Yds-TDs,37-176-1,45-189-2,19-88-0,22-88-1,29-153-2,16-50-0,21-101-0,23-111-1,41-157-2,28-159-1,29-96-0,34-121-0,36-209-3,34-170-1,26-153-2,27-170-2,37-169-2,33-181-1,32-113-1,24-81-1
SFO,SFO Score,10,27,10,24,37,14,23,31,22,38,13,33,35,21,37,37,38,41,19,7
SFO,Sacked-Yards,2-9,1-0,4-32,0-0,2-9,0-0,5-26,3-12,1-10,0-0,1-1,4-36,0-0,1-6,3-16,0-0,4-36,1-8,2-15,3-14
SFO,Third Down Conv.,8-17,6-15,1-10,5-12,7-12,3-8,8-14,5-9,9-17,6-11,5-13,8-19,4-9,6-13,4-11,4-8,6-13,6-11,7-14,2-8
SFO,Time of Possession,33:28,38:20,25:31,25:26,30:18,26:35,33:45,29:56,36:59,29:09,34:50,40:34,32:40,33:01,26:25,31:07,34:14,32:46,32:53,22:34
SFO,Total Yards,331,373,267,327,397,346,444,368,387,387,317,351,404,381,371,454,311,505,312,164
SFO,Turnovers,2,0,3,0,1,3,3,0,1,0,0,1,1,0,1,1,0,0,1,3
