,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
SFO,Cmp-Att-Yd-TD-INT,19-29-220-2-0,17-25-206-0-0,25-37-310-2-0,20-21-283-1-0,18-25-253-4-0,12-27-125-1-1,21-30-272-1-2,22-31-365-1-2,18-32-190-0-2,29-45-246-1-1,18-27-180-0-1,19-27-314-4-0,22-31-269-2-2,26-39-211-1-2,23-35-252-2-0,17-28-169-1-2,17-24-163-2-1,23-39-252-1-0,20-31-267-1-1,34-46-333-2-1
SFO,First Downs,22,21,26,30,25,15,19,24,12,22,14,24,17,22,23,12,19,19,23,24
SFO,Fourth Down Conv.,1-1,0-0,0-0,1-1,0-1,0-0,1-1,0-0,0-1,1-3,0-1,1-1,0-1,3-4,1-1,0-1,3-4,0-0,0-1,1-1
SFO,Fumbles-Lost,3-1,2-0,1-0,0-0,1-1,1-0,1-1,1-1,2-2,2-1,1-1,1-0,0-0,5-0,0-0,0-0,0-0,0-0,0-0,5-1
SFO,HomeTeam,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,True
SFO,Net Pass Yards,203,206,300,271,251,107,260,347,162,221,132,310,254,202,241,163,149,245,258,325
SFO,Opp Score,7,23,12,16,10,19,22,31,34,27,31,19,28,45,19,27,20,21,31,22
SFO,Opp_Cmp-Att-Yd-TD-INT,31-46-232-1-2,34-55-307-1-2,22-33-137-0-1,28-41-265-2-0,16-26-161-1-3,18-34-192-0-2,35-45-378-2-1,28-32-283-3-0,20-28-302-3-0,21-25-333-3-0,21-31-209-1-1,28-48-314-1-0,19-27-368-2-1,18-28-262-4-0,26-46-336-1-5,22-28-230-2-0,16-26-189-1-0,21-34-194-2-2,25-41-273-1-0,24-39-276-2-0
SFO,Opp_First Downs,15,28,10,23,8,18,24,29,20,22,23,23,19,24,21,28,20,20,28,23
SFO,Opp_Fourth Down Conv.,1-3,1-2,0-0,2-3,0-1,1-1,0-0,0-0,1-2,0-1,0-0,1-2,0-0,0-0,1-3,0-1,1-1,0-1,1-3,1-1
SFO,Opp_Fumbles-Lost,0-0,0-0,0-0,1-0,1-1,1-0,0-0,2-1,0-0,0-0,1-0,1-0,1-1,0-0,0-0,1-0,2-1,2-0,1-1,2-2
SFO,Opp_Net Pass Yards,198,297,121,257,140,174,378,266,293,305,208,287,354,262,308,224,175,194,260,272
SFO,Opp_Penalties-Yards,6-60,6-55,6-37,9-55,6-60,13-119,5-35,1-15,7-90,7-66,3-20,7-47,5-30,1-5,10-102,3-20,5-78,1-5,2-15,6-40
SFO,Opp_Rush-Yds-TDs,10-41-0,22-89-1,11-29-1,25-105-0,19-57-0,34-160-1,21-74-0,27-134-1,30-144-1,30-115-0,33-169-3,18-46-1,23-173-2,26-144-1,18-121-1,39-184-1,29-125-2,28-136-0,29-182-3,31-110-0
SFO,Opp_Sacked-Yards,5-34,1-10,2-16,1-8,4-21,2-18,0-0,3-17,2-9,4-28,1-1,3-27,3-14,0-0,4-28,1-6,3-14,0-0,2-13,1-4
SFO,Opp_Third Down Conv.,5-15,7-14,3-12,8-15,4-11,3-13,8-13,3-8,4-12,4-10,5-11,8-15,6-11,4-7,6-14,4-9,5-10,7-13,6-12,3-12
SFO,Opp_Time of Possession,22:37,33:11,20:50,30:46,22:55,33:03,34:56,31:23,33:11,30:51,35:30,31:39,29:15,25:49,28:46,38:13,29:00,30:19,27:48,38:31
SFO,Opp_Total Yards,239,386,150,362,197,334,452,400,437,420,377,333,527,406,429,408,300,330,442,382
SFO,Opp_Turnovers,2,2,1,0,4,2,1,1,0,0,1,0,2,0,5,0,1,2,1,2
SFO,Penalties-Yards,11-85,6-57,6-71,4-21,6-45,12-105,5-37,5-54,5-39,3-19,5-39,5-47,5-39,4-28,6-67,5-40,2-8,6-83,3-20,6-55
SFO,Rush-Yds-TDs,34-188-1,28-159-3,39-141-1,31-124-4,41-170-2,25-108-1,22-65-1,23-113-1,17-59-0,18-66-1,21-88-0,28-146-2,20-70-0,30-234-2,26-102-1,14-62-0,36-109-1,24-111-2,33-155-3,30-130-0
SFO,SFO Score,30,30,30,35,42,17,17,17,3,14,13,42,16,29,33,10,21,24,34,25
SFO,Sacked-Yards,3-17,1-0,2-10,1-12,1-2,3-18,1-12,2-18,5-28,4-25,6-48,2-4,4-15,3-9,2-11,1-6,2-14,1-7,2-9,3-8
SFO,Third Down Conv.,6-13,2-9,9-16,3-5,6-11,3-12,5-9,5-9,4-12,7-14,3-11,8-11,2-11,7-16,4-11,3-9,9-15,10-16,6-12,9-19
SFO,Time of Possession,37:23,26:49,39:10,29:14,37:05,26:57,25:04,28:37,26:49,29:09,24:30,28:21,30:45,34:11,31:14,21:47,31:00,29:41,32:12,36:26
SFO,Total Yards,391,365,441,395,421,215,325,460,221,287,220,456,324,436,343,225,258,356,413,455
SFO,Turnovers,1,0,0,0,1,1,3,3,4,2,2,0,2,2,0,2,1,0,1,2
