,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
Kan,Cmp-Att-Yd-TD-INT,21-28-321-0-1,24-31-343-3-1,26-38-281-4-0,24-30-278-5-1,15-26-315-3-0,32-47-397-2-2,31-51-288-0-1,23-33-241-2-1,19-34-190-1-1,36-51-422-5-0,28-43-216-0-2,22-40-257-1-2,33-45-263-1-1,31-47-410-3-1,28-43-194-1-1,26-35-259-2-0,27-44-270-2-0,29-44-215-2-0,27-37-329-4-0,23-38-250-2-1
Kan,First Downs,24,22,21,31,20,29,22,18,19,29,16,22,19,26,20,23,28,19,23,21
Kan,Fourth Down Conv.,3-4,0-0,1-1,0-0,0-0,1-2,2-3,1-2,2-3,3-3,0-0,3-6,1-1,0-1,2-3,1-1,1-1,2-2,4-4,0-0
Kan,Fumbles-Lost,2-1,2-1,1-0,1-0,0-0,2-1,3-2,2-0,3-1,2-1,2-1,2-1,4-4,1-1,2-2,0-0,0-0,2-1,1-0,0-0
Kan,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kan,Kan Score,29,35,30,42,38,31,3,17,7,41,9,9,9,34,10,31,28,21,36,27
Kan,Net Pass Yards,304,343,275,271,315,390,257,228,179,422,194,250,246,410,173,259,255,201,313,243
Kan,Opp Score,33,36,24,30,20,13,27,20,13,14,19,22,48,28,36,34,24,42,42,24
Kan,Opp_Cmp-Att-Yd-TD-INT,27-36-337-3-0,18-26-239-1-2,27-44-260-3-2,32-48-387-2-0,33-54-272-2-2,24-39-182-1-1,22-28-275-2-1,29-48-275-1-1,20-37-166-1-0,25-35-261-2-1,23-37-260-0-1,15-29-184-0-1,20-24-258-2-0,22-39-236-2-1,23-30-258-3-0,30-40-446-4-0,13-25-178-0-0,31-40-406-6-1,33-44-378-3-0,26-39-275-3-2
Kan,Opp_First Downs,21,31,33,30,29,15,24,29,14,15,22,15,21,28,25,23,18,26,30,24
Kan,Opp_Fourth Down Conv.,0-0,1-1,0-0,1-2,0-1,0-0,0-0,0-0,1-2,1-2,0-0,0-0,0-0,2-5,1-1,1-1,0-0,0-0,1-1,0-0
Kan,Opp_Fumbles-Lost,0-0,1-0,2-2,2-0,2-2,1-1,0-0,2-1,1-0,1-1,1-1,0-0,1-0,1-1,3-0,0-0,1-1,2-1,1-0,2-0
Kan,Opp_Net Pass Yards,324,230,251,358,272,182,266,261,160,249,244,178,240,236,254,415,173,372,370,236
Kan,Opp_Penalties-Yards,5-36,8-55,6-56,9-49,7-55,6-44,6-31,12-103,6-33,9-68,6-64,7-60,8-63,5-60,5-41,5-62,6-45,3-25,1-10,2-11
Kan,Opp_Rush-Yds-TDs,23-73-1,41-251-3,30-186-0,19-103-1,23-120-0,19-94-0,35-103-1,27-107-1,25-77-0,14-50-0,26-126-2,24-89-1,30-132-3,39-192-2,35-127-1,19-60-0,28-191-3,22-106-0,27-182-2,24-139-0
Kan,Opp_Sacked-Yards,2-13,1-9,2-9,3-29,2-0,0-0,1-9,2-14,1-6,2-12,3-16,1-6,3-18,0-0,2-4,4-31,1-5,3-34,2-8,4-39
Kan,Opp_Third Down Conv.,9-13,6-11,6-10,6-12,5-12,7-14,8-12,5-12,5-14,1-9,4-12,5-12,9-13,6-13,4-11,4-10,7-12,8-12,8-13,6-12
Kan,Opp_Time of Possession,32:47,35:59,32:31,29:08,32:25,26:07,36:21,34:38,28:27,24:34,30:47,26:30,33:35,33:03,34:42,29:06,26:56,30:00,36:38,29:42
Kan,Opp_Total Yards,397,481,437,461,392,276,369,368,237,299,370,267,372,428,381,475,364,478,552,375
Kan,Opp_Turnovers,0,2,4,0,4,2,1,2,0,2,2,1,0,2,0,0,1,2,0,2
Kan,Penalties-Yards,5-30,5-46,8-50,7-46,10-103,5-47,9-77,10-88,4-19,4-34,6-45,5-37,9-85,4-36,5-40,10-83,5-45,4-45,3-15,4-30
Kan,Rush-Yds-TDs,26-153-4,18-62-1,22-77-0,32-200-1,28-121-1,28-109-2,13-77-0,20-72-0,25-122-0,25-94-0,16-82-0,31-154-0,12-44-0,20-86-1,25-130-0,23-155-2,29-135-0,20-56-0,24-109-1,27-116-0
Kan,Sacked-Yards,2-17,0-0,1-6,1-7,0-0,3-7,4-31,3-13,1-11,0-0,5-22,1-7,4-17,1-0,2-21,0-0,1-15,2-14,2-16,1-7
Kan,Third Down Conv.,2-7,1-6,4-11,9-10,5-11,11-17,4-11,4-12,2-12,9-15,5-15,4-14,4-11,7-12,5-13,6-11,8-14,7-16,6-14,8-14
Kan,Time of Possession,27:13,24:01,27:29,30:52,27:35,33:53,23:39,25:22,31:33,35:26,29:13,33:30,26:25,28:12,25:18,30:54,33:04,30:00,27:37,35:56
Kan,Total Yards,457,405,352,471,436,499,334,300,301,516,276,404,290,496,303,414,390,257,422,359
Kan,Turnovers,2,2,0,1,0,3,3,1,2,1,3,3,5,2,3,0,0,1,0,1
