,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
PHI,Cmp-Att-Yd-TD-INT,20-35-132-0-1,35-48-334-1-0,25-37-255-1-1,33-50-348-2-0,24-35-311-2-0,26-36-278-3-0,30-37-310-2-0,21-30-286-3-1,32-44-360-2-1,19-33-156-0-3,20-28-236-1-0,27-39-306-2-1,22-32-228-3-0,24-31-270-0-1,35-50-471-4-1,29-34-243-3-1,25-40-266-2-2,18-31-201-1-2
PHI,First Downs,18,24,26,25,21,23,21,22,23,13,19,28,16,17,25,25,21,15
PHI,Fourth Down Conv.,0-0,3-5,0-0,0-0,1-1,0-0,3-4,0-0,0-2,0-2,1-1,0-1,1-1,0-1,4-4,1-1,1-1,0-0
PHI,Fumbles-Lost,2-1,2-2,4-1,3-1,2-2,3-0,3-1,1-1,0-0,0-0,1-0,3-0,1-1,0-0,3-2,1-0,0-0,0-0
PHI,HomeTeam,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False
PHI,Net Pass Yards,119,321,227,315,283,271,284,262,350,138,214,306,222,270,462,231,258,201
PHI,Opp Score,12,27,16,26,23,13,21,18,27,48,22,13,29,23,30,0,15,20
PHI,Opp_Cmp-Att-Yd-TD-INT,21-43-251-0-1,27-33-402-4-1,25-41-164-1-0,30-43-344-2-1,30-37-301-1-0,24-43-281-0-1,25-39-269-2-0,24-41-286-1-0,26-36-270-1-0,23-32-373-4-0,26-37-297-1-1,17-25-150-0-1,42-54-455-3-2,35-54-339-0-1,29-40-339-2-0,13-28-98-0-1,26-43-303-1-0,28-38-301-2-1
PHI,Opp_First Downs,16,18,14,22,19,17,19,16,23,28,18,10,32,23,25,8,17,25
PHI,Opp_Fourth Down Conv.,0-1,0-0,1-2,3-3,0-0,0-1,1-1,1-2,1-1,1-1,0-0,0-0,1-1,0-1,0-1,2-4,0-0,2-2
PHI,Opp_Fumbles-Lost,1-0,1-1,0-0,1-0,2-1,2-0,0-0,2-1,2-0,0-0,1-0,2-0,2-1,3-2,2-1,1-0,0-0,2-0
PHI,Opp_Net Pass Yards,225,393,141,327,298,254,250,265,239,373,276,131,434,325,309,68,291,283
PHI,Opp_Penalties-Yards,15-135,4-44,11-77,4-30,4-23,5-61,5-78,5-45,5-37,8-69,11-91,10-69,11-110,5-50,10-61,2-15,3-52,11-84
PHI,Opp_Rush-Yds-TDs,18-74-1,23-43-0,13-68-0,22-70-1,23-77-0,17-147-1,17-121-1,17-70-0,28-171-2,37-173-2,18-126-1,14-104-1,36-142-0,18-82-2,19-62-2,12-21-0,18-65-0,31-137-0
PHI,Opp_Sacked-Yards,4-26,2-9,2-23,3-17,1-3,4-27,2-19,4-21,4-31,0-0,2-21,3-19,3-21,2-14,4-30,4-30,2-12,2-18
PHI,Opp_Third Down Conv.,4-15,4-10,2-12,5-16,4-11,4-14,5-11,6-14,8-16,6-11,5-12,2-10,9-18,4-12,3-10,0-9,5-16,8-15
PHI,Opp_Time of Possession,27:50,24:21,19:48,35:30,32:47,27:30,24:43,27:22,33:22,37:34,27:22,20:41,45:33,28:24,26:15,16:41,29:12,37:50
PHI,Opp_Total Yards,299,436,209,397,375,401,371,335,410,546,402,235,576,407,371,89,356,420
PHI,Opp_Turnovers,1,2,0,1,1,1,0,1,0,0,1,1,3,3,1,1,0,1
PHI,PHI Score,18,21,20,23,21,34,17,24,20,7,25,28,23,30,32,24,16,14
PHI,Penalties-Yards,11-101,6-55,10-110,8-77,8-52,4-25,4-35,4-36,0-0,6-49,7-46,5-38,5-49,6-49,11-105,5-25,3-25,4-30
PHI,Rush-Yds-TDs,27-113-2,24-91-2,35-152-1,22-117-0,17-81-0,31-108-1,24-58-0,28-133-0,16-71-0,12-58-1,29-127-1,33-130-1,14-34-0,30-111-3,22-57-0,34-129-0,23-42-0,16-49-1
PHI,Sacked-Yards,2-13,3-13,5-28,4-33,3-28,1-7,4-26,4-24,2-10,3-18,3-22,0-0,2-6,0-0,1-9,3-12,1-8,0-0
PHI,Third Down Conv.,8-16,5-15,6-14,5-15,2-9,9-16,3-12,7-12,4-10,3-10,3-11,7-13,1-9,4-13,9-16,8-14,6-13,2-7
PHI,Time of Possession,32:10,35:39,40:12,34:25,27:13,32:30,35:17,32:38,26:38,22:26,32:38,39:19,22:32,31:36,33:45,43:19,30:48,22:10
PHI,Total Yards,232,412,379,432,364,379,342,395,421,196,341,436,256,381,519,360,300,250
PHI,Turnovers,2,2,2,1,2,0,1,2,1,3,0,1,1,1,3,1,2,2
