,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
0,Attendance,,,,,"4,708",,,,,"11,133",,,,,"30,131",
0,Duration,3:15,3:08,3:48,3:09,3:16,3:31,3:14,3:08,3:05,3:16,3:14,2:59,3:08,3:27,3:17,3:02
0,Over/Under,41.5 (over),46.0 (over),46.5 (under),45.5 (under),44.0 (over),46.5 (over),44.5 (under),43.0 (under),46.5 (under),45.5 (under),50.0 (under),50.0 (under),43.0 (over),49.5 (over),50.0 (over),44.0 (under)
0,Roof,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,retractable roof (closed),retractable roof (closed),outdoors
0,Surface,grass,grass,grass,grass,grass,grass,grass,grass,fieldturf,grass,grass,grass,grass,grass,fieldturf,grass
0,Vegas Line,Philadelphia Eagles -5.5,Philadelphia Eagles -2.0,Philadelphia Eagles -5.5,San Francisco 49ers -8.5,Pittsburgh Steelers -7.5,Baltimore Ravens -10.5,Philadelphia Eagles -5.0,Philadelphia Eagles -10.5,Philadelphia Eagles -5.0,Cleveland Browns -2.5,Seattle Seahawks -6.5,Green Bay Packers -8.0,New Orleans Saints -7.5,Arizona Cardinals -6.5,Philadelphia Eagles -3.0,Washington Football Team -6.5
0,Weather,"76 degrees, relative humidity 68%, wind 5 mph","62 degrees, relative humidity 34%, wind 12 mph","76 degrees, relative humidity 82%, wind 5 mph","84 degrees, relative humidity 30%, wind 12 mph","70 degrees, relative humidity 89%, wind 4 mph","61 degrees, relative humidity 52%, wind 7 mph","70 degrees, relative humidity 75%, wind 4 mph","49 degrees, relative humidity 66%, wind 17 mph","56 degrees, relative humidity 60%, wind 18 mph","38 degrees, relative humidity 88%, wind 8 mph","60 degrees, relative humidity 94%, wind 16 mph","34 degrees, relative humidity 64%, wind 9 mph","57 degrees, relative humidity 49%, wind 10 mph",,,"38 degrees, relative humidity 92%, wind 10 mph, wind chill 0"
0,Won OT Toss,,,Bengals,,,,,,,,,,,,,
0,Won Toss,Eagles (deferred),Rams (deferred),Eagles (deferred),49ers (deferred),Steelers (deferred),Ravens (deferred),Giants (deferred),Eagles (deferred),Eagles (deferred),Eagles (deferred),Seahawks (deferred),Packers (deferred),Eagles (deferred),Eagles (deferred),Cowboys (deferred),Football Team (deferred)
