,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
PHI,Cmp-Att-Yd-TD-INT,27-35-264-3-0,12-24-190-0-0,25-39-326-2-2,32-48-387-2-0,22-37-198-0-1,12-26-115-1-1,18-34-236-2-0,11-16-114-0-0,11-17-162-1-0,16-23-178-2-1,13-24-147-0-0,14-31-129-0-3,20-25-242-2-0,20-26-296-1-1,17-29-199-2-0,17-26-214-0-0,20-34-188-2-1,23-43-258-1-2
PHI,First Downs,24,18,12,30,15,16,22,27,20,22,21,19,26,23,17,18,22,14
PHI,Fourth Down Conv.,0-2,0-1,0-2,1-2,0-1,1-1,2-3,0-0,0-0,0-0,0-0,0-2,1-1,0-1,0-1,3-4,3-3,1-3
PHI,Fumbles-Lost,2-0,1-0,0-0,2-0,2-1,0-0,3-2,0-0,1-0,2-0,1-1,1-1,3-0,2-1,2-0,0-0,0-0,3-1
PHI,HomeTeam,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False
PHI,Net Pass Yards,261,177,303,358,182,113,223,114,155,170,138,124,233,281,194,212,166,244
PHI,Opp Score,6,17,41,42,18,28,33,6,27,13,29,13,18,17,10,16,51,31
PHI,Opp_Cmp-Att-Yd-TD-INT,21-35-164-0-0,22-30-189-1-0,21-26-238-3-0,24-30-278-5-1,21-37-177-1-3,34-42-297-2-1,31-34-323-2-1,25-34-222-0-0,32-38-356-2-0,22-36-226-0-0,22-40-214-3-2,19-30-202-1-0,23-38-226-2-1,20-31-194-0-0,23-44-118-1-2,27-36-247-0-1,22-28-305-5-0,29-37-271-2-0
PHI,Opp_First Downs,19,23,27,31,17,27,23,15,28,17,18,17,21,14,15,24,22,23
PHI,Opp_Fourth Down Conv.,1-3,1-1,1-2,0-0,0-0,0-1,1-1,2-5,2-4,0-2,0-0,1-1,2-3,0-1,1-2,0-1,2-2,0-1
PHI,Opp_Fumbles-Lost,1-0,2-0,2-1,1-0,0-0,0-0,0-0,3-1,0-0,2-1,2-1,1-0,0-0,2-0,1-0,0-0,0-0,0-0
PHI,Opp_Net Pass Yards,136,189,220,271,158,297,323,171,356,212,214,194,211,174,108,218,304,243
PHI,Opp_Penalties-Yards,12-99,5-60,4-37,7-46,9-69,7-120,7-65,8-50,4-30,4-29,3-25,2-15,6-66,2-25,6-40,1-4,5-44,4-35
PHI,Opp_Rush-Yds-TDs,26-124-0,38-117-1,41-160-2,32-200-1,30-109-0,31-102-2,29-119-2,18-57-1,27-89-1,18-96-1,22-109-1,27-70-0,17-70-1,21-63-2,27-84-0,22-94-1,32-171-2,31-106-2
PHI,Opp_Sacked-Yards,3-28,0-0,4-18,1-7,3-19,0-0,0-0,6-51,0-0,1-14,0-0,1-8,2-15,2-20,2-10,3-29,1-1,4-28
PHI,Opp_Third Down Conv.,3-14,6-14,6-12,9-10,5-15,7-13,3-9,5-14,5-10,1-11,6-13,3-12,3-9,6-13,8-20,9-15,8-13,4-13
PHI,Opp_Time of Possession,28:58,34:54,34:58,30:52,35:03,39:56,32:31,25:00,33:37,25:02,22:59,32:02,24:24,24:43,30:52,27:51,27:37,33:03
PHI,Opp_Total Yards,260,306,380,471,267,399,442,228,445,308,323,264,281,237,192,312,475,349
PHI,Opp_Turnovers,0,0,1,1,3,1,1,1,0,1,3,0,1,0,2,1,0,0
PHI,PHI Score,32,11,21,30,21,22,22,44,24,30,40,7,33,27,34,20,26,15
PHI,Penalties-Yards,14-89,8-57,13-86,9-49,6-60,4-41,4-37,2-15,3-25,7-89,6-49,4-26,3-20,4-48,11-79,6-42,3-30,4-45
PHI,Rush-Yds-TDs,31-173-1,29-151-1,12-64-0,19-103-1,22-91-2,19-100-2,32-135-1,46-236-4,39-176-2,39-216-0,50-242-3,33-208-1,41-185-1,41-238-2,30-130-1,34-118-2,33-149-1,17-95-1
PHI,Sacked-Yards,1-3,2-13,2-23,3-29,2-16,2-2,2-13,0-0,1-7,2-8,3-9,1-5,2-9,3-15,1-5,1-2,3-22,2-14
PHI,Third Down Conv.,6-13,5-12,4-12,6-12,4-13,3-10,6-13,5-10,8-12,6-13,12-21,4-11,6-13,7-13,5-13,4-12,10-18,5-14
PHI,Time of Possession,31:02,25:06,25:02,29:08,24:57,20:04,27:29,35:00,26:23,34:58,37:01,27:58,35:36,35:17,29:08,32:09,32:23,26:57
PHI,Total Yards,434,328,367,461,273,213,358,350,331,386,380,332,418,519,324,330,315,339
PHI,Turnovers,0,0,2,0,2,1,2,0,0,1,1,4,0,2,0,0,1,3
