,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
0,Attendance,"68,965","71,597","68,773","63,920","70,003","68,867","70,240","68,921","63,982","69,811","68,849","71,802","68,672","68,957","73,331","68,827","68,660","71,299"
0,Duration,2:57,2:51,2:53,3:29,3:20,3:08,3:19,3:01,3:04,2:48,3:30,3:03,3:02,3:01,2:58,3:04,3:07,3:01
0,Over/Under,44.5 (under),40.5 (under),42.0 (over),48.0 (over),45.0 (over),50.5 (under),50.5 (over),44.5 (under),49.0 (over),45.0 (under),47.5 (over),41.0 (over),44.5 (over),43.0 (under),49.5 (under),42.5 (under),41.5 (under),42.0 (over)
0,Roof,outdoors,outdoors,outdoors,dome,dome,outdoors,dome,outdoors,retractable roof (open),outdoors,outdoors,dome,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors
0,Surface,fieldturf,grass,fieldturf,fieldturf,sportturf,fieldturf,matrixturf,fieldturf,grass,grass,fieldturf,matrixturf,fieldturf,fieldturf,grass,fieldturf,fieldturf,grass
0,Vegas Line,Denver Broncos -6.5,San Francisco 49ers -9.0,Seattle Seahawks -1.0,Detroit Lions -3.5,New Orleans Saints -5.0,Arizona Cardinals -2.5,Los Angeles Chargers -4.5,Seattle Seahawks -3.0,Arizona Cardinals -2.0,Tampa Bay Buccaneers -2.5,Seattle Seahawks -4.0,Seattle Seahawks -7.0,Seattle Seahawks -4.0,San Francisco 49ers -3.0,Kansas City Chiefs -10.0,New York Jets -1.5,Seattle Seahawks -6.0,San Francisco 49ers -9.5
0,Weather,"74 degrees, relative humidity 53%, wind 6 mph",,"67 degrees, relative humidity 67%, wind 6 mph",,,"72 degrees, relative humidity 44%, wind 5 mph",,"54 degrees, relative humidity 72%, wind 12 mph",,"54 degrees, relative humidity 71%, wind 9 mph","44 degrees, relative humidity 67%, wind 8 mph",,"45 degrees, relative humidity 97%, wind 4 mph","39 degrees, relative humidity 71%, wind 6 mph","12 degrees, relative humidity 61%, wind 9 mph","45 degrees, relative humidity 93%, wind 2 mph","45 degrees, relative humidity 100%, wind 4 mph","57 degrees, relative humidity 82%, wind 11 mph"
0,Won OT Toss,,,,,,,,,,,Raiders,,,,,,Seahawks,
0,Won Toss,Broncos (deferred),Seahawks (deferred),Falcons (deferred),Lions (deferred),Seahawks (deferred),Seahawks (deferred),Chargers (deferred),Giants (deferred),Cardinals (deferred),Seahawks (deferred),Seahawks (deferred),Seahawks (deferred),Seahawks (deferred),49ers (deferred),Chiefs,Jets (deferred),Rams (deferred),49ers (deferred)
