,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
BUF,BUF Score,16,38,37,48,20,14,25,24,18,22,32,34,17,10,22,21,14,17,24
BUF,Cmp-Att-Yd-TD-INT,29-41-236-1-3,31-37-274-3-0,20-32-218-1-1,21-25-320-4-0,27-40-359-2-1,19-30-169-2-1,27-41-265-2-1,31-40-324-2-1,26-38-258-1-1,15-26-177-1-2,20-32-275-3-1,29-51-339-2-1,25-43-271-1-1,21-34-134-0-1,23-33-215-0-0,16-26-209-0-3,17-27-173-1-2,22-39-229-2-1,26-39-186-1-0
BUF,First Downs,19,29,20,24,18,22,24,25,21,18,22,29,21,14,18,16,16,22,27
BUF,Fourth Down Conv.,0-0,3-4,0-1,0-0,0-0,0-0,2-3,0-1,0-0,0-1,1-1,1-1,0-1,1-2,0-0,0-0,0-0,0-1,2-3
BUF,Fumbles-Lost,2-1,0-0,0-0,0-0,2-1,1-1,1-1,0-0,1-1,3-2,1-0,1-0,1-1,0-0,0-0,1-1,0-0,2-1,2-0
BUF,HomeTeam,False,True,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True
BUF,Net Pass Yards,217,267,218,310,359,169,258,312,249,177,263,332,264,106,175,191,167,218,186
BUF,Opp Score,22,10,3,20,25,9,29,18,24,24,6,37,20,31,24,27,21,31,27
BUF,Opp_Cmp-Att-Yd-TD-INT,14-22-140-1-1,16-24-185-1-2,19-29-170-0-4,25-35-282-1-1,25-37-315-1-0,24-36-200-0-0,25-30-272-2-0,25-42-237-2-0,31-44-348-2-0,24-29-193-2-0,15-30-132-1-2,18-31-200-3-1,23-42-233-1-1,7-15-94-1-0,15-21-237-1-1,15-30-169-0-1,30-38-359-2-2,21-30-203-3-0,17-23-215-2-0
BUF,Opp_First Downs,13,13,15,20,29,20,21,17,23,19,14,24,21,28,16,19,26,24,21
BUF,Opp_Fourth Down Conv.,1-1,0-0,0-1,0-3,0-0,1-2,0-0,1-1,1-2,1-1,4-5,0-0,1-1,0-0,0-0,0-0,1-3,1-1,0-0
BUF,Opp_Fumbles-Lost,1-0,1-1,1-1,4-1,4-2,1-0,1-1,2-0,0-0,1-1,2-2,1-1,1-0,1-0,3-2,2-0,1-1,0-0,2-1
BUF,Opp_Net Pass Yards,117,185,125,251,278,185,268,224,343,178,92,193,209,85,230,154,345,189,215
BUF,Opp_Penalties-Yards,2-10,2-30,2-15,8-98,8-56,9-65,8-59,11-74,6-49,10-61,5-35,4-30,4-35,1-15,7-64,4-32,6-41,2-24,2-15
BUF,Opp_Rush-Yds-TDs,28-172-0,15-55-0,13-105-0,19-142-2,40-196-2,34-132-0,24-96-1,17-78-0,22-54-1,38-122-0,18-63-0,32-185-2,28-118-1,49-266-3,30-105-2,37-127-2,36-128-0,34-179-1,24-146-1
BUF,Opp_Sacked-Yards,3-23,0-0,9-45,4-31,5-37,3-15,1-4,3-13,1-5,4-15,6-40,2-7,3-24,1-9,1-7,1-15,3-14,2-14,0-0
BUF,Opp_Third Down Conv.,5-13,3-7,1-9,3-10,10-18,10-19,4-9,4-15,8-15,8-19,0-11,4-11,6-15,5-9,5-10,7-15,9-15,5-12,1-5
BUF,Opp_Time of Possession,27:50,19:56,25:21,29:38,38:12,31:24,27:46,28:03,36:38,37:21,23:09,26:53,35:21,35:05,26:56,32:52,38:07,33:19,22:57
BUF,Opp_Total Yards,289,240,230,393,474,317,364,302,397,300,155,378,327,351,335,281,473,368,361
BUF,Opp_Turnovers,1,3,5,2,2,0,1,0,0,1,4,2,1,0,3,1,3,0,1
BUF,Penalties-Yards,5-40,4-30,6-45,4-20,11-109,7-51,9-46,9-86,5-49,5-63,8-77,11-80,7-45,5-48,6-29,2-20,4-29,6-50,5-28
BUF,Rush-Yds-TDs,22-97-0,35-183-2,33-168-2,29-104-2,14-29-1,29-128-0,24-81-1,26-115-1,16-68-1,26-192-2,38-130-0,40-173-2,18-82-1,20-89-1,27-98-1,24-103-2,20-108-1,23-106-0,39-182-2
BUF,Sacked-Yards,5-19,2-7,0-0,2-10,0-0,0-0,1-7,2-12,1-9,0-0,1-12,1-7,1-7,3-28,5-40,3-18,1-6,1-11,0-0
BUF,Third Down Conv.,5-13,7-13,9-15,5-10,5-12,6-12,5-12,7-13,7-12,3-8,5-13,13-22,6-12,5-13,4-14,4-10,4-10,5-11,7-14
BUF,Time of Possession,33:08,40:04,34:39,30:22,21:48,28:36,32:14,31:57,23:22,22:39,36:51,40:30,24:39,24:55,33:04,27:08,21:53,26:41,37:03
BUF,Total Yards,314,450,386,414,388,297,339,427,317,369,393,505,346,195,273,294,275,324,368
BUF,Turnovers,4,0,1,0,2,2,2,1,2,4,1,1,2,1,0,4,2,2,0
