,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
BUF,BUF Score,27,31,35,30,16,17,18,24,44,30,27,34,26,48,38,56,27,17,24
BUF,Cmp-Att-Yd-TD-INT,33-46-312-2-0,24-35-415-4-0,24-33-311-4-1,24-34-288-2-0,29-46-285-2-2,14-27-122-2-1,30-43-307-0-0,11-18-154-0-1,31-38-415-3-0,33-50-296-3-2,19-25-177-2-1,32-40-375-4-0,24-43-238-2-1,28-40-359-2-0,30-40-344-4-0,24-38-388-4-2,26-35-324-2-0,23-37-206-1-0,28-48-287-2-1
BUF,First Downs,31,23,23,21,23,20,26,22,27,22,23,31,21,29,31,24,22,17,24
BUF,Fourth Down Conv.,1-1,0-0,1-1,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-3,0-0,0-1,3-3,0-0,0-0,0-0,2-2
BUF,Fumbles-Lost,2-2,1-1,1-1,0-0,2-1,0-0,1-1,0-0,0-0,1-0,2-2,2-1,3-1,2-1,1-0,0-0,1-0,1-0,0-0
BUF,HomeTeam,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,True,False
BUF,Net Pass Yards,306,411,274,274,275,122,296,149,386,296,160,368,230,352,344,377,301,188,234
BUF,Opp Score,17,28,32,23,42,26,10,21,34,32,17,24,15,19,9,26,24,3,38
BUF,Opp_Cmp-Att-Yd-TD-INT,21-35-215-1-1,31-47-328-2-0,23-32-321-2-1,32-44-311-2-0,21-28-195-3-0,21-26-225-2-0,12-23-120-0-2,15-25-174-0-0,28-41-390-2-2,22-32-245-1-1,31-52-316-1-1,26-39-316-3-2,21-37-187-2-2,20-32-132-1-0,9-21-78-0-0,36-59-393-1-3,27-46-309-2-0,20-37-222-0-1,29-38-325-3-0
BUF,Opp_First Downs,15,28,28,24,25,27,17,20,22,26,24,24,14,19,11,27,27,19,29
BUF,Opp_Fourth Down Conv.,0-0,0-1,0-1,1-2,1-1,1-1,0-1,0-0,2-3,1-1,4-5,0-1,0-0,0-0,0-0,1-2,2-4,0-2,1-1
BUF,Opp_Fumbles-Lost,1-1,1-0,3-1,3-2,0-0,2-1,1-0,1-1,2-2,1-1,2-0,0-0,1-0,2-1,0-0,2-1,1-0,5-0,1-1
BUF,Opp_Net Pass Yards,202,311,311,297,195,221,91,161,362,236,291,316,177,115,56,384,309,190,325
BUF,Opp_Penalties-Yards,9-95,3-20,3-30,7-65,6-46,8-68,6-49,5-35,4-13,7-40,5-91,7-43,3-55,7-33,4-25,2-20,2-10,8-59,3-32
BUF,Opp_Rush-Yds-TDs,15-52-1,22-99-1,32-167-2,23-86-0,34-139-3,46-245-1,22-100-1,34-188-2,17-57-2,35-217-2,24-76-1,21-86-0,17-47-0,28-140-2,24-145-1,20-70-2,30-163-1,32-150-0,25-114-2
BUF,Opp_Sacked-Yards,3-13,3-17,2-10,2-14,0-0,1-4,6-29,2-13,5-28,3-9,3-25,0-0,1-10,3-17,3-22,1-9,0-0,4-32,1-0
BUF,Opp_Third Down Conv.,4-11,5-12,6-10,8-14,6-10,9-14,2-8,5-10,3-12,5-13,3-16,6-11,1-10,6-14,4-12,3-14,9-17,7-17,6-10
BUF,Opp_Time of Possession,18:43,31:05,32:12,31:42,27:36,37:45,25:27,30:46,27:59,29:40,30:04,25:02,24:45,26:10,20:19,32:38,34:17,35:33,31:09
BUF,Opp_Total Yards,254,410,478,383,334,466,191,349,419,453,367,402,224,255,201,454,472,340,439
BUF,Opp_Turnovers,2,0,2,2,0,1,2,1,4,2,1,2,2,1,0,4,0,1,1
BUF,Penalties-Yards,7-79,6-55,5-55,5-81,10-56,4-39,11-106,5-30,6-70,9-69,9-85,4-50,7-48,8-75,3-27,3-16,2-7,2-11,4-38
BUF,Rush-Yds-TDs,32-98-1,23-112-0,21-101-1,24-63-2,22-95-0,23-84-0,27-126-0,38-190-3,19-34-2,18-73-0,30-172-1,27-81-0,27-104-0,24-182-3,31-130-1,25-78-2,21-96-1,16-32-0,18-129-0
BUF,Sacked-Yards,3-6,1-4,4-37,1-14,1-10,0-0,2-11,1-5,7-29,0-0,3-17,1-7,1-8,1-7,0-0,1-11,2-23,2-18,4-53
BUF,Third Down Conv.,7-14,5-10,5-10,7-13,13-17,4-9,3-11,5-11,5-12,6-13,4-9,4-9,7-14,9-13,5-12,4-10,2-9,4-13,5-14
BUF,Time of Possession,41:17,28:55,27:48,28:18,32:24,22:15,34:33,29:14,32:01,30:20,29:56,34:58,35:15,33:50,39:41,27:22,25:43,24:27,28:51
BUF,Total Yards,404,523,375,337,370,206,422,339,420,369,332,449,334,534,474,455,397,220,363
BUF,Turnovers,2,1,2,0,3,1,1,1,0,2,3,1,2,1,0,2,0,0,1
