,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
TAM,Cmp-Att-Yd-TD-INT,21-34-173-2-0,26-34-317-1-0,15-25-146-1-1,25-33-246-3-1,19-37-206-0-1,27-42-275-1-1,25-42-237-2-0,21-30-265-2-0,18-29-278-2-1,29-45-246-1-1,20-31-199-2-1,14-29-202-1-1,14-29-144-2-0,22-28-381-4-0,26-35-283-2-0,22-33-309-2-2,20-32-137-0-0,22-36-337-3-0,26-41-349-3-2
TAM,First Downs,16,19,12,21,13,21,17,21,19,22,17,15,16,22,22,13,14,23,23
TAM,Fourth Down Conv.,1-1,1-1,0-0,0-0,1-2,0-1,1-1,2-2,0-0,1-3,1-1,0-0,1-2,1-1,1-2,1-1,0-0,1-2,1-1
TAM,Fumbles-Lost,0-0,2-0,2-1,0-0,0-0,2-1,2-0,2-1,1-0,2-1,2-1,0-0,2-0,1-1,0-0,2-2,1-0,0-0,0-0
TAM,HomeTeam,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,False,True,False
TAM,Net Pass Yards,169,317,133,239,205,256,224,251,263,221,173,194,142,353,265,292,115,307,319
TAM,Opp Score,17,17,25,9,20,16,24,39,6,27,27,18,25,20,12,23,0,9,31
TAM,Opp_Cmp-Att-Yd-TD-INT,33-44-344-2-1,16-29-211-1-2,23-37-277-1-2,24-39-140-0-1,30-44-353-2-0,19-25-250-0-0,31-40-324-2-1,30-42-470-5-0,19-39-199-0-1,21-25-333-3-0,24-41-251-0-1,15-31-178-0-1,26-40-347-1-1,29-39-284-2-0,28-44-305-2-2,25-34-208-2-0,11-18-94-0-0,25-35-250-1-0,30-43-287-2-0
TAM,Opp_First Downs,18,14,27,16,19,20,25,26,14,22,26,15,23,18,23,20,11,13,26
TAM,Opp_Fourth Down Conv.,0-0,0-0,2-3,1-2,0-0,0-0,0-1,1-1,0-2,0-1,3-4,1-3,1-1,0-2,1-3,0-0,2-2,0-2,1-1
TAM,Opp_Fumbles-Lost,2-2,2-0,0-0,2-2,1-0,3-3,0-0,2-1,0-0,0-0,1-0,2-0,4-0,2-1,3-2,0-0,2-2,2-0,0-0
TAM,Opp_Net Pass Yards,328,169,271,127,340,245,312,443,167,305,239,149,338,261,268,202,68,234,277
TAM,Opp_Penalties-Yards,6-45,5-28,3-20,7-58,5-35,9-60,9-86,9-115,5-35,7-66,5-40,7-62,2-10,4-31,2-20,5-31,3-20,6-54,3-17
TAM,Opp_Rush-Yds-TDs,17-41-0,16-67-1,40-201-1,19-70-0,22-40-0,38-156-1,26-115-1,17-53-0,16-42-0,30-115-0,27-155-3,34-133-2,26-96-2,17-60-0,13-37-0,35-108-0,29-131-0,15-42-0,26-114-2
TAM,Opp_Sacked-Yards,2-16,6-42,1-6,3-13,3-13,1-5,2-12,3-27,4-32,4-28,2-12,4-29,3-9,2-23,4-37,1-6,3-26,3-16,2-10
TAM,Opp_Third Down Conv.,6-14,6-13,10-16,5-14,9-16,7-13,7-13,3-11,6-15,4-10,2-11,3-15,5-13,6-12,3-9,8-18,2-12,0-9,6-14
TAM,Opp_Time of Possession,29:21,24:04,38:55,28:49,36:30,29:59,31:57,28:40,28:20,30:51,31:21,33:42,28:20,30:53,22:53,36:38,28:36,25:57,32:00
TAM,Opp_Total Yards,369,236,472,197,380,401,427,496,209,420,394,282,434,321,305,310,199,276,391
TAM,Opp_Turnovers,3,2,2,3,0,3,1,1,1,0,1,1,1,1,4,0,2,0,0
TAM,Penalties-Yards,3-19,7-54,4-20,11-91,5-33,9-66,11-74,9-90,7-50,3-19,4-24,5-36,4-26,4-52,6-44,5-38,3-15,5-25,5-33
TAM,Rush-Yds-TDs,33-73-0,34-120-1,17-41-0,33-114-0,16-46-0,20-73-0,17-78-0,31-81-2,29-77-0,18-66-1,19-125-0,28-128-2,37-148-1,27-99-0,36-70-1,15-57-0,29-113-0,29-119-0,15-89-0
TAM,Sacked-Yards,1-4,0-0,2-13,1-7,1-1,3-19,3-13,2-14,3-15,4-25,6-26,1-8,1-2,5-28,2-18,2-17,3-22,4-30,4-30
TAM,TAM Score,20,27,11,26,6,13,18,37,20,14,20,21,29,34,30,13,9,32,23
TAM,Third Down Conv.,6-17,8-15,5-10,8-15,2-12,6-12,4-15,3-13,7-15,7-14,5-13,6-15,6-16,7-11,10-19,2-8,6-16,6-14,4-12
TAM,Time of Possession,30:39,35:56,21:05,31:11,23:30,30:01,28:03,31:20,31:40,29:09,28:39,26:18,31:40,29:07,37:07,23:22,31:24,34:03,28:00
TAM,Total Yards,242,437,174,353,251,329,302,332,340,287,298,322,290,452,335,349,228,426,408
TAM,Turnovers,0,0,2,1,1,2,0,1,1,2,2,1,0,1,0,4,0,0,2
