,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
0,Attendance,,,"5,226","6,383",,"15,540",,,"15,740","5,815","15,730","15,950","16,031","10,703",,"16,009",,"3,750","7,772","24,835"
0,Duration,3:21,3:14,2:59,3:09,3:10,3:05,3:09,3:08,2:51,3:12,3:06,3:03,2:53,3:09,3:02,3:05,3:19,3:12,3:14,3:35
0,Over/Under,48.5 (over),47.0 (over),42.5 (under),42.5 (over),44.0 (under),55.0 (under),51.5 (over),47.0 (over),51.0 (under),49.5 (over),47.5 (over),56.0 (under),52.0 (under),49.5 (over),54.0 (push),51.5 (over),45.0 (over),53.0 (under),53.0 (over),54.5 (under)
0,Roof,dome,outdoors,outdoors,outdoors,outdoors,outdoors,dome,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,retractable roof (closed),dome,outdoors,outdoors,dome,outdoors,outdoors
0,Super Bowl MVP,,,,,,,,,,,,,,,,,,,,Tom Brady
0,Surface,astroturf,grass,grass,grass,grass,grass,grass,fieldturf,grass,grass,grass,grass,grass,fieldturf,fieldturf,grass,grass,astroturf,grass,grass
0,Vegas Line,New Orleans Saints -4.0,Tampa Bay Buccaneers -7.5,Tampa Bay Buccaneers -6.0,Tampa Bay Buccaneers -7.5,Tampa Bay Buccaneers -3.5,Green Bay Packers -3.0,Tampa Bay Buccaneers -3.5,Tampa Bay Buccaneers -13.0,Tampa Bay Buccaneers -3.0,Tampa Bay Buccaneers -6.0,Tampa Bay Buccaneers -4.0,Kansas City Chiefs -3.5,Tampa Bay Buccaneers -7.0,Tampa Bay Buccaneers -6.0,Tampa Bay Buccaneers -9.5,Tampa Bay Buccaneers -7.5,Tampa Bay Buccaneers -10.0,New Orleans Saints -2.5,Green Bay Packers -3.0,Kansas City Chiefs -3.0
0,Weather,,"85 degrees, relative humidity 72%, wind 17 mph","55 degrees, relative humidity 39%, wind 7 mph","75 degrees, relative humidity 87%, wind 6 mph","57 degrees, relative humidity 74%, wind 7 mph","88 degrees, relative humidity 48%, wind 12 mph",,"39 degrees, relative humidity 46%, wind 8 mph","77 degrees, relative humidity 76%, wind 17 mph","65 degrees, relative humidity 90%, wind 15 mph","69 degrees, relative humidity 65%, wind 5 mph","81 degrees, relative humidity 50%, wind 5 mph","78 degrees, relative humidity 63%, wind 5 mph",,,"65 degrees, relative humidity 77%, wind 4 mph, wind chill 0","40 degrees, relative humidity 47%, wind 10 mph",,"29 degrees, relative humidity 75%, wind 10 mph","63 degrees, relative humidity 78%, wind 9 mph"
0,Won Toss,Buccaneers (deferred),Panthers (deferred),Buccaneers (deferred),Chargers (deferred),Bears (deferred),Buccaneers (deferred),Raiders (deferred),Giants (deferred),Saints (deferred),Buccaneers (deferred),Rams (deferred),Buccaneers (deferred),Buccaneers (deferred),Falcons,Buccaneers,Buccaneers,Football Team (deferred),Saints (deferred),Packers (deferred),Chiefs (deferred)
