,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
0,Attendance,"69,787","63,707","58,076","78,281","59,841","60,821","67,431","60,788","58,716","70,240","63,238","59,303","66,718","59,521","73,371","63,624","70,453","73,253"
0,Duration,3:08,3:08,3:02,3:03,3:04,3:40,3:01,3:20,3:40,3:17,3:02,3:10,3:20,3:09,2:58,3:21,3:30,3:01
0,Over/Under,48.5 (under),47.0 (under),43.0 (under),44.5 (under),39.5 (over),43.0 (push),43.0 (under),38.5 (over),41.0 (under),47.5 (over),44.0 (over),44.0 (under),44.0 (over),44.0 (under),46.5 (under),42.0 (under),41.0 (under),46.5 (over)
0,Roof,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,dome,outdoors,outdoors,dome,outdoors,outdoors,outdoors,outdoors,outdoors
0,Surface,a_turf,grass,grass,grass,grass,grass,grass,grass,grass,matrixturf,fieldturf,grass,sportturf,grass,grass,grass,grass,grass
0,Vegas Line,Buffalo Bills -6.5,Pittsburgh Steelers -6.0,Pittsburgh Steelers -3.0,Green Bay Packers -6.0,Denver Broncos -1.5,Pittsburgh Steelers -5.0,Cleveland Browns -4.5,Pittsburgh Steelers -6.5,Pittsburgh Steelers -6.0,Los Angeles Chargers -5.5,Cincinnati Bengals -3.5,Baltimore Ravens -4.5,Minnesota Vikings -3.0,Pittsburgh Steelers -1.0,Kansas City Chiefs -12.5,Pittsburgh Steelers -2.0,Baltimore Ravens -3.5,Kansas City Chiefs -12.5
0,Weather,"73 degrees, relative humidity 79%, wind 17 mph","77 degrees, relative humidity 60%, wind 4 mph","67 degrees, relative humidity 42%, wind 9 mph","67 degrees, relative humidity 87%, wind 4 mph","71 degrees, relative humidity 61%, wind 9 mph","49 degrees, relative humidity 77%, wind 6 mph","57 degrees, relative humidity 67%, wind 13 mph","55 degrees, relative humidity 51%, wind 7 mph","37 degrees, relative humidity 72%, wind 12 mph",,"43 degrees, relative humidity 65%, wind 12 mph","50 degrees, relative humidity 44%, wind 7 mph",,"32 degrees, relative humidity 74%, wind 11 mph","60 degrees, relative humidity 64%, wind 22 mph","25 degrees, relative humidity 60%, wind 12 mph","36 degrees, relative humidity 100%, no wind","30 degrees, relative humidity 78%, wind 8 mph"
0,Won OT Toss,,,,,,Seahawks,,,Lions,,,,,,,,Ravens,
0,Won Toss,Steelers (deferred),Raiders (deferred),Bengals (deferred),Packers (deferred),Broncos (deferred),Steelers,Steelers (deferred),Steelers (deferred),Lions (deferred),Chargers (deferred),Steelers (deferred),Steelers (deferred),Steelers (deferred),Titans (deferred),Chiefs (deferred),Browns (deferred),Ravens (deferred),Steelers
