,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
0,Attendance,"58,192","57,687","64,426","92,946","51,836","61,873","60,427","65,515","58,651","69,879","65,865","53,864","76,128","61,917","71,642","50,827","62,814"
0,Duration,3:19,3:07,3:11,3:08,3:12,2:51,3:21,2:50,3:08,2:54,2:54,2:47,3:22,3:07,3:10,2:49,3:03
0,Over/Under,43.0 (over),48.5 (over),47.5 (under),41.5 (under),43.0 (under),38.0 (under),41.5 (over),39.5 (under),43.5 (under),43.5 (over),41.0 (under),40.5 (under),40.5 (under),40.5 (under),37.5 (over),40.5 (under),40.0 (under)
0,Roof,outdoors,dome,outdoors,retractable roof (closed),outdoors,outdoors,outdoors,retractable roof (closed),outdoors,outdoors,retractable roof (closed),outdoors,outdoors,outdoors,outdoors,outdoors,outdoors
0,Surface,grass,fieldturf,grass,matrixturf,grass,grass,grass,fieldturf,grass,grass,astroturf,grass,fieldturf,grass,grass,grass,grass
0,Vegas Line,Washington Commanders -3.0,Detroit Lions -1.5,Philadelphia Eagles -6.0,Dallas Cowboys -3.0,Tennessee Titans -2.0,Washington Commanders -1.0,Green Bay Packers -4.5,Indianapolis Colts -3.0,Minnesota Vikings -3.0,Philadelphia Eagles -10.5,Washington Commanders -3.0,Washington Commanders -4.0,Washington Commanders -2.0,Washington Commanders -4.5,San Francisco 49ers -6.5,Washington Commanders -2.0,Dallas Cowboys -7.0
0,Weather,"74 degrees, relative humidity 95%, wind 4 mph",,"72 degrees, relative humidity 60%, wind 9 mph",,"61 degrees, relative humidity 36%, wind 9 mph","46 degrees, relative humidity 55%, wind 14 mph","62 degrees, relative humidity 66%, wind 7 mph",,"71 degrees, relative humidity 79%, wind 11 mph","43 degrees, relative humidity 45%, wind 6 mph",,"46 degrees, relative humidity 97%, wind 9 mph","40 degrees, relative humidity 63%, wind 9 mph","35 degrees, relative humidity 47%, wind 13 mph","54 degrees, relative humidity 82%, wind 2 mph","59 degrees, relative humidity 51%, wind 9 mph","42 degrees, relative humidity 53%, wind 7 mph"
0,Won OT Toss,,,,,,,,,,,,,Giants,,,,
0,Won Toss,Commanders (deferred),Commanders (deferred),Eagles (deferred),Commanders (deferred),Commanders (deferred),Commanders (deferred),Commanders (deferred),Commanders (deferred),Commanders (deferred),Eagles (deferred),Texans (deferred),Commanders (deferred),Commanders (deferred),Commanders,49ers (deferred),Commanders (deferred),Cowboys
