,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
htx,Cmp-Att-Yd-TD-INT,24-32-234-2-0,23-37-174-0-2,28-44-307-1-2,18-33-169-2-0,9-30-131-1-0,20-32-192-3-1,10-21-86-0-0,10-32-175-1-1,11-31-191-0-0,15-30-240-2-5,23-34-257-0-1,18-25-278-2-1,22-34-242-1-0,29-40-196-1-3,23-39-244-2-2,11-17-184-2-0,18-28-178-1-0,14-32-242-1-4,19-28-245-0-0
htx,First Downs,26,15,17,17,16,20,15,17,21,19,21,19,20,18,20,25,18,15,18
htx,Fourth Down Conv.,2-2,1-2,2-4,0-1,1-1,0-0,0-0,2-2,2-2,0-0,1-2,1-1,1-1,2-2,0-0,0-0,1-2,0-1,0-1
htx,Fumbles-Lost,0-0,0-0,0-0,1-0,0-0,1-0,0-0,2-1,2-1,1-0,0-0,3-2,0-0,2-1,1-0,0-0,2-1,1-0,1-0
htx,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
htx,Net Pass Yards,204,134,258,155,126,176,55,140,135,240,250,237,218,172,227,181,167,211,187
htx,Opp Score,27,19,34,24,23,21,24,23,21,23,10,27,20,20,27,2,14,32,23
htx,Opp_Cmp-Att-Yd-TD-INT,9-19-212-2-1,23-36-260-1-0,17-28-181-4-0,27-40-345-2-0,28-38-331-1-1,20-33-243-3-2,24-33-220-3-2,25-37-285-1-0,22-32-211-3-0,19-33-232-1-2,33-56-358-1-1,20-33-247-2-2,24-42-276-2-1,18-26-131-2-0,28-41-260-1-0,18-32-190-0-1,16-26-245-1-0,22-33-282-1-1,16-25-177-1-0
htx,Opp_First Downs,14,15,19,26,18,17,18,21,17,16,24,12,19,12,25,10,14,20,14
htx,Opp_Fourth Down Conv.,1-2,1-1,1-1,0-0,0-1,2-2,0-0,0-0,1-1,0-0,0-4,0-0,2-2,1-1,1-2,0-2,2-3,2-2,1-2
htx,Opp_Fumbles-Lost,0-0,1-1,1-0,1-1,1-1,3-2,1-1,1-1,2-1,1-0,3-1,0-0,1-0,2-1,0-0,1-0,2-1,3-2,2-0
htx,Opp_Net Pass Yards,199,235,156,334,331,209,195,267,193,192,324,220,276,104,251,153,229,261,162
htx,Opp_Penalties-Yards,4-20,12-115,5-30,12-93,7-65,9-50,8-55,5-30,9-83,4-30,9-66,11-81,4-30,7-70,2-20,5-49,7-68,8-86,4-29
htx,Opp_Rush-Yds-TDs,22-104-2,22-75-0,28-118-0,26-101-1,28-94-1,26-82-0,20-82-0,29-96-1,21-100-0,28-56-1,18-64-0,17-40-0,25-97-0,20-77-0,28-124-2,17-58-0,32-85-0,34-168-1,22-50-1
htx,Opp_Sacked-Yards,2-13,3-25,4-25,2-11,1-0,4-34,3-25,2-18,2-18,4-40,5-34,4-27,0-0,4-27,1-9,5-37,2-16,3-21,3-15
htx,Opp_Third Down Conv.,5-10,4-14,6-13,7-13,8-16,3-13,4-10,4-13,5-12,6-15,5-15,3-13,5-15,5-13,7-13,4-15,5-15,5-14,4-11
htx,Opp_Time of Possession,20:00,28:47,29:18,33:17,33:10,29:13,28:43,35:20,26:18,32:28,29:23,25:31,27:43,26:36,33:52,24:39,29:59,34:25,26:34
htx,Opp_Total Yards,303,310,274,435,425,291,277,363,293,248,388,260,373,181,375,211,314,429,212
htx,Opp_Turnovers,1,1,0,1,2,4,3,1,1,2,2,2,1,1,0,1,1,3,0
htx,Penalties-Yards,5-30,9-60,11-88,6-44,4-25,4-38,5-55,9-57,7-60,4-61,9-69,6-35,3-15,8-64,6-45,3-30,6-48,2-10,8-82
htx,Rush-Yds-TDs,40-213-1,22-71-1,14-38-0,24-158-0,28-150-1,28-192-2,33-142-2,26-163-1,36-187-1,32-105-1,25-141-3,33-132-1,25-108-1,19-52-0,17-84-0,43-251-2,29-207-1,18-50-0,29-149-1
htx,Sacked-Yards,4-30,7-40,5-49,1-14,1-5,2-16,4-31,5-35,8-56,0-0,1-7,8-41,2-24,3-24,2-17,1-3,1-11,4-31,8-58
htx,Third Down Conv.,7-14,6-17,4-14,4-12,3-14,4-11,4-13,2-13,6-17,7-12,4-12,4-14,5-13,4-13,7-13,4-9,5-12,3-11,10-17
htx,Time of Possession,40:00,31:13,30:42,26:43,26:50,30:47,31:17,24:40,33:42,27:32,30:37,34:29,32:17,33:24,26:08,35:21,30:01,25:35,33:26
htx,Total Yards,417,205,296,313,276,368,197,303,322,345,391,369,326,224,311,432,374,261,336
htx,Turnovers,0,2,2,0,0,1,0,2,1,5,1,3,0,4,2,0,1,4,0
htx,htx Score,29,13,7,20,20,41,22,20,13,26,34,32,23,12,19,31,23,12,14
